neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,year,month,day
1,24,0,81,0.0890890890890891,3,0.020785219399538108,0,365,2014,12,26
1,26,0,44,0.014014014014014014,3,0.016936104695919937,2,331,2019,4,21
1,26,0,40,0.02902902902902903,2,0.007698229407236336,2,276,2018,9,13
1,32,0,65,0.001001001001001001,3,0.1031562740569669,1,336,2019,8,22
1,26,0,44,0.02902902902902903,3,0.01077752117013087,2,340,2019,2,2
1,26,0,40,0.02902902902902903,2,0.010007698229407237,2,331,2019,4,27
1,26,0,31,0.0890890890890891,1,0.0023094688221709007,2,361,2016,8,22
1,31,0,81,0.0890890890890891,0,0.041570438799076216,0,173,2019,8,12
1,32,0,60,0.001001001001001001,3,0.08929946112394149,1,340,2019,7,10
1,32,0,60,0.001001001001001001,3,0.13394919168591224,1,349,2019,8,15
1,30,0,56,0.0890890890890891,3,0.026943802925327172,0,364,2017,8,7
0,8,0,53,0.001001001001001001,3,0.020015396458814474,1,345,2019,8,11
1,24,1,276,0.003003003003003003,3,0.009237875288683603,0,362,2018,1,7
1,28,0,167,0.17917917917917917,0,0.041570438799076216,0,365,2019,8,12
1,24,0,100,0.0890890890890891,3,0.024634334103156273,0,90,2017,8,12
1,29,0,165,0.001001001001001001,3,0.06312548113933794,1,167,2019,7,26
1,20,0,51,0.09109109109109109,3,0.046189376443418015,0,179,2019,8,21
1,21,0,44,0.0890890890890891,1,0.0007698229407236335,3,365,2019,8,11
1,27,0,128,0.002002002002002002,0,0.041570438799076216,0,365,2019,8,12
1,26,0,40,0.02902902902902903,3,0.012317167051578136,2,331,2019,8,16
1,29,1,300,0.001001001001001001,3,0.03464203233256351,1,221,2018,2,9
1,29,0,150,0.001001001001001001,3,0.06389530408006158,1,173,2019,5,27
1,35,1,200,0.05905905905905906,2,0.007698229407236336,1,334,2018,2,12
1,26,0,150,0.0,1,0.003079291762894534,0,208,2019,1,25
1,25,0,100,0.36436436436436437,0,0.041570438799076216,0,365,2019,8,12
1,21,0,65,0.0890890890890891,1,0.0023094688221709007,3,0,2018,3,9
1,36,1,243,0.004004004004004004,3,0.013856812933025403,0,143,2016,7,5
1,31,0,35,0.01701701701701702,2,0.01077752117013087,3,359,2019,7,20
1,38,1,219,0.05905905905905906,2,0.005388760585065436,1,350,2018,2,10
1,21,0,60,0.02702702702702703,2,0.011547344110854504,3,333,2017,8,10
1,36,0,69,0.001001001001001001,3,0.21862971516551194,0,0,2019,8,23
1,30,1,140,0.001001001001001001,3,0.15627405696689764,0,230,2019,8,22
0,6,0,49,0.002002002002002002,3,0.014626635873749037,0,131,2019,6,1
1,25,0,49,0.01701701701701702,1,0.003079291762894534,3,360,2016,2,22
1,25,0,81,0.0890890890890891,3,0.013086989992301769,0,0,2015,1,21
1,22,1,231,0.0890890890890891,3,0.03002309468822171,0,119,2018,7,14
1,29,1,190,0.008008008008008008,3,0.029253271747498075,0,277,2019,8,3
1,35,1,319,0.006006006006006006,3,0.046189376443418015,2,330,2019,6,4
1,35,1,149,0.006006006006006006,3,0.03156274056966897,2,0,2019,5,1
1,35,1,240,0.006006006006006006,3,0.03079291762894534,2,340,2019,7,21
1,29,0,137,0.005005005005005005,2,0.010007698229407237,0,0,2019,6,22
1,21,0,58,0.0890890890890891,2,0.007698229407236336,3,322,2016,10,18
1,25,0,56,0.01701701701701702,0,0.0015396458814472668,3,332,2016,10,22
1,21,0,65,0.0890890890890891,1,0.006928406466512702,3,356,2017,12,2
1,27,0,60,0.004004004004004004,2,0.006928406466512702,1,0,2018,4,1
1,31,1,129,0.02902902902902903,3,0.0846805234795997,2,348,2019,5,11
1,21,0,60,0.0890890890890891,1,0.0023094688221709007,3,361,2016,10,14
1,20,0,44,0.0890890890890891,3,0.03002309468822171,0,76,2019,7,28
1,35,0,104,0.004004004004004004,3,0.06004618937644342,0,74,2019,8,12
1,25,0,40,0.01701701701701702,2,0.009237875288683603,3,359,2016,12,26
1,25,0,76,0.004004004004004004,3,0.03695150115473441,0,67,2019,8,24
